oid	kind	category	name	args	return	comment	file
58362	f	schema_meta	get_universe_time		TABLE(universe_time_timestamp timestamp without time zone, down_time_accumulation bigint)		functions/schema_meta/get_universe_time__0args.sql
58363	f	transfer	get_unsaved_base_totem_ids_for_account	in_account_id bigint	TABLE(totem_id bigint)		functions/transfer/get_unsaved_base_totem_ids_for_account__1args.sql
58364	f	vehicle	get_vehicle_id	in_actor_id bigint, in_class text	bigint		functions/vehicle/get_vehicle_id__2args.sql
58365	f	vehicle	get_vehicle_module_inventory_id	in_vehicle_module_id bigint, in_vehicle_module_inventory_type integer	bigint		functions/vehicle/get_vehicle_module_inventory_id__2args.sql
58366	f	guild	guild_handle_actor_delete	in_player_id bigint	void		functions/guild/guild_handle_actor_delete__1args.sql
58367	f	guild	guilds_get_exclusive_operation_lock		void		functions/guild/guilds_get_exclusive_operation_lock__0args.sql
58368	f	faction	handle_player_faction_guild_effects	in_player_id bigint, in_faction_id smallint, neutral_faction_id smallint	void		functions/faction/handle_player_faction_guild_effects__3args.sql
58369	f	partition	igwo_delete_world_partitions	in_partition_ids bigint[]	void		functions/partition/igwo_delete_world_partitions__1args.sql
58370	f	partition	igwo_get_partition_id_seq_last_value		bigint		functions/partition/igwo_get_partition_id_seq_last_value__0args.sql
58371	f	partition	igwo_get_partition_ids		SETOF bigint		functions/partition/igwo_get_partition_ids__0args.sql
58372	f	partition	igwo_get_partitions		TABLE(partition_id bigint, map text, dimension_index integer, label text, min_x double precision, min_y double precision, max_x double precision, max_y double precision)		functions/partition/igwo_get_partitions__0args.sql
58373	f	igwo	igwo_get_server_details		TABLE(address text, server_id text, ready boolean, partition_id bigint, map text, dimension_index integer, label text)		functions/igwo/igwo_get_server_details__0args.sql
58374	f	partition	igwo_insert_world_partition	in_partition_id bigint, in_map text, in_partition_definition jsonb, in_dimension_index integer, in_partition_label text	bigint		functions/partition/igwo_insert_world_partition__5args.sql
58375	f	partition	igwo_next_partition_id_seq		bigint		functions/partition/igwo_next_partition_id_seq__0args.sql
58376	f	partition	igwo_notify_world_partition_update		void		functions/partition/igwo_notify_world_partition_update__0args.sql
58377	f	partition	igwo_restart_partition_id_seq	in_restart_with bigint	void		functions/partition/igwo_restart_partition_id_seq__1args.sql
58378	f	partition	igwo_update_world_partition	in_map text, in_partition_definition jsonb, in_partition_id bigint, in_dimension_index integer, in_label text	void		functions/partition/igwo_update_world_partition__5args.sql
58379	f	event_log	init_event_log	in_partition_id bigint	void		functions/event_log/init_event_log__1args.sql
58380	f	partition	initialize_partitions_basic_battlegroup		void		functions/partition/initialize_partitions_basic_battlegroup__0args.sql
58381	f	partition	initialize_partitions_basic_survival_1		void		functions/partition/initialize_partitions_basic_survival_1__0args.sql
58382	f	partition	initialize_partitions_development_battlegroup		void		functions/partition/initialize_partitions_development_battlegroup__0args.sql
58383	f	partition	initialize_partitions_editor_default_1x1		void		functions/partition/initialize_partitions_editor_default_1x1__0args.sql
58384	f	partition	initialize_partitions_full_battlegroup		void		functions/partition/initialize_partitions_full_battlegroup__0args.sql
